,MOFA_shared_Factor1,MOFA_shared_Factor2,MOFA_shared_Factor3,MOFA_shared_Factor4,MOFA_shared_Factor5
TCGA.A1.A0SF,-0.7242328115510298,1.9517778283228022,-0.3703729311554574,-1.335327839562381,-0.965015841601367
TCGA.A1.A0SI,-0.22208154651999068,0.5037636384359865,-1.1266589921622108,-1.9121736204594,-2.478070734865377
TCGA.A1.A0SN,-0.8634510660279262,0.11593538220224665,2.301059494347822,-1.4192961603410688,-0.5632171384668204
TCGA.A1.A0SQ,-2.969495344774523,-1.484991717112829,-1.5620471124608566,-0.5471016395878353,1.820193379549181
TCGA.A2.A0CK,-1.0449793898254667,2.447965236273985,-0.2676261889480367,1.2488671701125642,1.0157592600051701
TCGA.A2.A0CO,-0.44439479937164433,3.081527676048447,-0.14122963250723036,-1.4163709227796726,-0.20570992277651806
TCGA.A2.A0CR,1.7553714724507863,3.8825593755263483,1.0912387723362897,-1.5760220824977456,0.4599174107937709
TCGA.A2.A0EP,2.797627600303894,3.825373214331248,0.6215605235826598,-1.5988863302821519,0.8465212819146345
TCGA.A2.A1FV,-3.0096343179507077,-0.8961683257195806,2.119060609187382,1.088071515191543,1.0350700837773068
TCGA.A2.A1FW,-2.6948050863646413,-1.7495449629185176,1.6797459690753853,-1.4398301862136675,1.2893283432135791
TCGA.A2.A1FX,-2.2640657026048823,-1.2627926864687777,0.1094512948641091,-0.9870568038171751,1.9429926373124822
TCGA.A2.A1FZ,-0.04427350962764404,2.20527332425467,1.0137276213437085,1.592540902504898,-0.437325636801382
TCGA.A2.A1G0,-0.3704239610122215,2.5464207436216837,-2.082432412329821,0.34654781967460835,1.4339949340669058
TCGA.A2.A1G1,3.7301431706047725,-2.131179699046478,0.2588136270705654,-0.8893048626307986,-0.5190396824333098
TCGA.A2.A1G4,-2.0299408664456426,-0.5146920076971102,1.903747259785381,0.4400150563939241,2.2698421671684823
TCGA.A2.A259,0.500132492923362,2.7710098307113107,-1.193030726340961,0.7362533232029861,1.263063903704075
TCGA.A2.A25B,-1.9033911047215264,-2.6793770734233027,0.9213743177059147,-2.3754495086461542,0.5052708936865776
TCGA.A2.A25C,-0.8106008302648579,0.7353029724314567,-0.08396279474420458,-0.19755966148206583,0.6513987653223281
TCGA.A2.A25D,-0.13678321731128,0.5945297883070118,0.9453690396847373,-2.642013390200367,0.43936801480415966
TCGA.A2.A25E,-1.2988351187840714,-0.9138079075617896,0.7436370891523094,-0.47201092290669555,2.3080989472445825
TCGA.A2.A25F,4.388729966772052,1.3251963048528648,1.146273748836371,-2.476866517457376,2.1700480834642777
TCGA.A2.A3KC,-0.2325046127566273,2.474545599788686,1.551765832299742,1.5186203134255853,-0.500766345165271
TCGA.A2.A3KD,0.0009254410156465396,2.248212354477997,-1.0715582859609833,2.464897999778229,0.7256773793431236
TCGA.A2.A3XS,4.411287085838027,-0.6671338532721346,0.7843088391616827,1.1430111520786028,-0.23669103461085098
TCGA.A2.A3XT,4.013011607649012,-1.1626646005799337,0.416809040405685,0.5932471899066388,0.971868657280314
TCGA.A2.A3XU,3.142208761782209,-3.0703436656667247,-2.418852904649926,4.025857620198028,-0.8458964849679673
TCGA.A2.A3XV,0.048196386473632474,-1.590252083299993,3.2878237837960067,0.292277984296641,-2.8066458751871517
TCGA.A2.A3XX,4.582791779955778,-0.2918016245382373,0.44666971843847625,1.8103088257020883,0.4535863111023112
TCGA.A2.A3XY,4.354978303112715,0.5083107137045337,-0.39853801641127173,0.24365285943257597,0.12216196718595002
TCGA.A2.A3XZ,2.3719583649112868,2.030260484691137,0.7178602588558719,-1.0290248342245585,0.6643352732783621
TCGA.A2.A3Y0,4.234425201181956,-2.0934428400389367,-1.1418910823370914,-1.136047605663281,0.062486205826159054
TCGA.A2.A4RW,0.14327098079088885,2.1466270900190323,1.960726288651531,0.8607488742919144,0.17149458886314398
TCGA.A2.A4RX,4.065473395208622,1.3184582913260072,-0.6341361625501033,1.6849349374733305,0.05729537050462254
TCGA.A2.A4S0,-1.8670303468174705,-0.6570028831519745,-3.5057123802039913,3.3212369755801086,4.663271148954408
TCGA.A2.A4S2,-0.5800158185397813,1.691479654001873,0.8818043893726778,-0.5051893943973343,-0.21868962871869918
TCGA.A2.A4S3,0.6109510754745973,-0.7333760201685986,-1.2775199627613707,-2.1323757433589443,0.5446499901934704
TCGA.A7.A13D,3.7655139823073847,-3.2233139666357395,-0.8572807774532463,3.9471543873424024,-1.179798349580541
TCGA.A7.A13E,3.639587359752648,-4.094842757788274,0.8847246897896722,2.2118165868318127,-1.907762742917743
TCGA.A7.A13F,-2.547908557226249,-1.7634170079024913,1.4373254694126318,0.7730141227110291,0.32275754354847985
TCGA.A7.A13G,-2.5846195356178447,0.4405381456074151,-3.4853246418103834,2.944817395359704,-0.3943651719403863
TCGA.A7.A13H,0.26744438190501435,3.10172662391563,-0.21252261542174236,0.32725558864773463,-0.3820168311267172
TCGA.A7.A26E,-1.8314506398497297,1.6780562968769184,1.0700385020185608,2.0295107994343446,-1.1422042797984537
TCGA.A7.A26F,2.801522893401499,-1.5214271823192203,1.7091094055570257,-0.9908920776991461,-2.3613745923211007
TCGA.A7.A26G,3.519643020757088,0.49060046560659043,-1.3843233020325432,-0.35643901830460567,-0.4432384695792951
TCGA.A7.A26H,-1.443414167627932,0.8112014342937045,0.5084810307960056,-0.8018060869064174,-1.172760157644108
TCGA.A7.A26I,3.9074734713159933,-1.6709492316273733,-1.4716629187305574,2.839646399423545,-0.21126443747751805
TCGA.A7.A26J,-2.213635497352126,-0.30935664993967,0.4465907956098251,-0.35331450357789423,-0.32416762316195663
TCGA.A7.A2KD,-0.8980736352284964,-0.6497996195039552,-1.537921126775601,-2.5833323056002055,-1.176593346903956
TCGA.A7.A3IY,1.1827818597766346,1.175823143327856,-2.5478289116183457,2.464307211976289,1.113297295359786
TCGA.A7.A3IZ,-3.958693078466583,-1.7154044109197304,-0.1243036546844538,0.4463464154153705,1.0480235586042423
TCGA.A7.A3J0,-1.2309161812822722,-0.2817701749265673,-4.791739693601664,0.7388440373251199,3.773375882609036
TCGA.A7.A3J1,-0.25605247370279155,3.007976249428121,0.23930898080067162,-0.8478049100481841,0.1326570789996328
TCGA.A7.A3RF,-2.9855324961189074,-2.582074526959238,-3.250420405004773,1.2383301765787664,3.372400309917317
TCGA.A7.A425,-0.7286468449252531,1.8689627972756153,-1.3737698429306542,0.5728601462422127,-1.5097098000195424
TCGA.A7.A426,-0.07813803311174759,3.395396156502173,-0.3636909428167507,1.4070391920997203,-0.2778966012669509
TCGA.A7.A4SA,0.7337223270245578,2.0772440659338582,-0.7833760128390059,-0.9888480969896808,1.059813919510458
TCGA.A7.A4SB,-1.7744592410282651,0.15287833078510815,-1.801653665407435,1.2978124378437579,0.3717671723309518
TCGA.A7.A4SC,0.13234076201392042,2.928018931119179,1.7237639188016312,1.5589514162666256,-0.810747261561373
TCGA.A7.A4SD,3.4683760817130302,-1.9810796416656298,-2.5676539686150788,-1.6182866012367725,-0.4220128260640346
TCGA.A7.A4SE,3.9298571390910735,-0.18727380028780857,-1.1817993406344736,2.45860684839981,-0.6524432752171232
TCGA.A7.A4SF,-2.073560610969527,-2.8341302084891615,-1.0986259812240178,-3.737451163636247,-1.296225293940304
TCGA.A7.A5ZV,3.683286984089232,-3.5814056119866824,2.526767837575213,3.100617436970173,-0.5326564877255231
TCGA.A7.A5ZW,0.5039989652945738,3.2214873708546334,-0.748674437050467,1.9696229312797913,-0.7424445866134907
TCGA.A7.A5ZX,-0.07903693941195737,3.1100452695559313,-0.3069362359993693,3.7343747646065477,-1.019675743607621
TCGA.AC.A23C,-0.12658332654882296,1.0362188121059384,0.6937085274994387,-1.0730593376926212,-1.1459134585261668
TCGA.AC.A23E,-1.7040840897480576,-0.22030666664782564,-0.43178157370132425,0.7435900733089678,-1.9036990981564255
TCGA.AC.A23G,0.8931860813210564,2.4744032043236066,-0.542482818048177,1.6171631687456862,-1.1832259005797718
TCGA.AC.A23H,-0.8917584990704955,-2.9236744641782857,5.654190729113031,0.04430170002850703,-1.9552456432657275
TCGA.AC.A2B8,-0.7318286928233039,1.700962159104655,-0.5581639821521033,-0.6629331588723003,-1.2714597662436327
TCGA.AC.A2BK,3.5492827785472834,-4.89186092615136,-1.393545335725778,1.9326069070257097,0.11159962038137329
TCGA.AC.A2BM,-1.4235027558233835,-0.3268352233561202,1.2868019944906557,-0.8395133867443921,3.2285087491641495
TCGA.AC.A2FB,1.7495772277686883,3.584722380267064,0.9146996278981083,-0.9703870232913849,0.7309007103568821
TCGA.AC.A2FE,0.6061861692880295,2.9313185983665986,2.1350784765454045,-0.6657276314759945,0.13648831508838496
TCGA.AC.A2FF,1.698484562887755,4.135260147198957,-0.45468826564595677,0.6998893841861452,0.3770354928287434
TCGA.AC.A2FG,-0.7302114562991944,2.9286060333911506,-1.9599018920713063,1.649913365461134,-1.0696505629353898
TCGA.AC.A2FM,-2.7076049632441332,-0.10291589290515721,4.390866750156268,1.6253666072634771,2.0299091978910218
TCGA.AC.A2FO,0.45626665839906766,2.8471025368735776,0.9612706305650587,-1.161485344690622,0.47096604126849
TCGA.AC.A2QH,2.398270021976071,-2.228383684277826,-1.3371300557773274,2.608893819244925,0.22139315684800578
TCGA.AC.A2QI,-1.0100298374910526,0.8779816468380236,-1.7414236432247618,-1.4496681201967434,-0.9701000738122162
TCGA.AC.A2QJ,3.3500603049003748,-0.9106413860829838,-1.980517815361032,0.3288465516874338,-0.6435243622391071
TCGA.AC.A3BB,0.18463062440392977,3.348955724201112,0.0838555808952841,-1.1462313269066986,-0.4340165376877115
TCGA.AC.A3EH,-2.4250881215456577,-1.0143183751956684,1.2943196005816657,-0.4478438627206504,-2.9080050375146786
TCGA.AC.A3HN,0.17029422087304877,3.6453855652943163,-0.3590675190327285,0.9220338480153463,-0.20460130084623898
TCGA.AC.A3OD,0.5977591041004789,3.107888464879075,1.9918377537103886,0.4060128415304656,0.7111165593201303
TCGA.AC.A3QP,0.4871912275817116,2.3528953723357318,-1.0501163758608754,1.4677889767167627,-0.7733179208920967
TCGA.AC.A3QQ,-2.0013022908966445,0.8116884885597236,-0.4522213748329312,-1.053185364359368,-0.9340941672985852
TCGA.AC.A3TM,-1.040735140375611,1.9463980058445047,0.0003877737502872395,0.7809279430405386,-0.648945301038281
TCGA.AC.A3TN,-2.900317226748388,1.0539950331141803,0.25187071223658386,1.0238567461102839,-1.1164871995034864
TCGA.AC.A3W5,0.7872009529766696,0.37960290600088714,1.4635344560589827,-2.189919138689931,-2.5704051486935255
TCGA.AC.A3W6,0.3483883063360795,2.3303375040103433,0.291594915134941,-1.0943689323251247,-0.618501462300334
TCGA.AC.A3W7,-0.9118435216519296,2.5961918846956493,-0.21398503216960624,1.8276219712087274,-1.7628996411889715
TCGA.AC.A5XS,0.29235790272294476,1.4389479892445898,0.06779561518339983,-1.6292642311486798,-0.2300793127468908
TCGA.AC.A62Y,-1.019611731965681,0.8031693735324857,-2.076115371580638,0.5499777521875797,0.19884319629606928
TCGA.AO.A1KP,-3.413503548642875,-2.055034422180002,0.5165478182168487,0.07275825834886626,-0.2732722836102901
TCGA.AO.A1KQ,-1.1392233427235126,-1.364427787405918,-1.2604529505815143,-3.2491216398229814,1.5307789994337078
TCGA.AO.A1KR,3.488838212035362,-2.111949052994416,0.8985017299500004,0.6637419700939517,-0.42072389861959997
TCGA.AO.A1KS,-1.0318818559443363,-0.1938824453207426,1.2267793867001349,0.0692659958827058,0.6208627479548704
TCGA.AO.A1KT,-1.603855215582048,-2.4540688048969588,-0.8658184411899912,-1.5727772883989513,-1.064561476044733
TCGA.AQ.A0Y5,-1.2006613696699602,-1.5406255792535608,-0.14658713581650218,0.9595761773718445,-1.9672484170914943
TCGA.AQ.A1H2,-3.4656679700242443,-3.2543775899983203,-2.1737191360824375,-1.6646589115266317,-0.4862985643122366
TCGA.AQ.A1H3,-0.622251837786439,2.2912628167079596,1.0908169004520243,0.1464593713108653,-0.49498808622107404
TCGA.AQ.A54N,4.008901609322117,-3.6396285312292305,-1.2755043409454554,3.593693464179372,-0.35246351486511696
TCGA.AQ.A54O,-1.6088594562836445,-0.000697415306345867,-1.786453711376824,0.5999491549423095,1.601933374673516
TCGA.AR.A1AI,4.145927467695323,-2.8314145239003676,-1.3177409416462436,-2.399441953346207,0.34199393906691766
TCGA.AR.A1AJ,4.553284335844087,0.6209821666669091,0.35345667583517176,-1.6381260902165398,0.9479552778381382
TCGA.AR.A1AM,0.23867065303238602,2.7647042194151883,-2.161557417918027,0.6613584298424238,-0.5267783298341268
TCGA.AR.A1AN,-0.34043461296325905,1.179136688578283,-2.1001153833858512,0.44460946591445194,-0.282730101525951
TCGA.AR.A1AP,-1.1305200722305038,0.46161384119553067,1.7662504852624417,0.43099296835643863,-1.1518083973773365
TCGA.AR.A1AQ,4.536684338635932,-1.132089713029398,1.398260211135682,-0.7407901049719573,0.7555785418715283
TCGA.AR.A1AR,3.8375084246796303,-0.8563199950522387,0.18244551563108397,-0.4713203706618001,0.41022983699636684
TCGA.AR.A1AS,-2.579694877520356,-2.527045666236828,-1.2904219231225753,0.744448665293546,-2.929242709565348
TCGA.AR.A1AU,-0.1415663560996127,1.7000349300480408,-0.6971915136176221,2.3347912696094655,1.0338466695748088
TCGA.AR.A1AV,-3.7335727591022096,-1.7040477700732861,1.3864764182270546,0.5900381854876461,-0.7071670226724763
TCGA.AR.A1AW,2.0395093855925093,1.343369229816405,2.8903544471614615,-3.4425306137613285,1.5543152286454684
TCGA.AR.A1AX,1.9914539491629204,2.889807077227001,-0.12801413616270363,-1.538530376484798,0.8041573154659617
TCGA.AR.A1AY,4.3229280245385535,-1.9123464071250382,0.01765667242836772,4.067678729454225,-0.6389715403702053
TCGA.AR.A24K,-2.8699005423082258,-1.1319725230716307,0.13213432506174516,1.81220255870738,-0.933757166803538
TCGA.AR.A24L,-0.6957267255558618,0.2583582478049811,-1.1149279729972315,1.4785704607509778,1.8535230875691677
TCGA.AR.A24M,-1.9597672824541916,0.7649588396992829,-1.1540123975362768,1.71321357962806,-1.304784097959095
TCGA.AR.A24N,-1.7542221788413532,-0.6210649410876893,2.7035445676423637,-0.30573256640879304,-1.6849434967226482
TCGA.AR.A24O,0.3240182148642955,2.998602238311164,-1.1911276206396133,0.39983084954285375,-0.20575135504882242
TCGA.AR.A24P,-0.6924993992659447,1.3718672112939059,0.5335531638185119,1.546526245729839,-0.6080522831144269
TCGA.AR.A24Q,4.092971506483089,-0.5597986001978621,-0.8838755656190121,0.8068619826834653,0.5012104180960929
TCGA.AR.A24R,-1.476019137178268,-0.6617567475908058,2.1500583515723317,-1.4080573885728391,1.512102514051613
TCGA.AR.A24S,-0.09974277607807029,-0.6282018657678279,-2.5836183293545325,-2.6659357488145257,-0.7726487652053446
TCGA.B6.A1KC,-1.8915946477495191,-2.4037547022002808,2.971139318777703,1.7911621611334096,4.200738220982223
TCGA.B6.A1KF,3.3821942158791134,-3.765903029839416,0.6580965293206525,4.358118566569906,-2.2223047995851415
TCGA.B6.A1KI,-1.225540710930057,1.047180625750408,-2.081402343660981,1.7717450606430283,-1.0181085190635453
TCGA.B6.A1KN,-1.2960525428881067,-1.4765446779503337,1.4892906614549455,-1.8024340908656584,-1.4671535575613963
TCGA.B6.A2IU,-2.0107614121884647,0.564427523923487,-1.124331526997223,0.6242533071240336,-0.6546247835961181
TCGA.BH.A0AU,-0.6555473384963981,0.8940849981728254,-0.018281690994930745,-0.2692872428136116,1.2986083557699104
TCGA.BH.A0AZ,-0.3740459638508243,1.6518738685538934,-1.083263438939467,0.82086927462908,-0.49719232655249196
TCGA.BH.A0B5,-1.8204347027591887,1.207415495973744,0.6761436767933752,-0.9817555775735685,-1.0542654722820393
TCGA.BH.A0B6,0.5064718223263595,1.522933583886524,0.6709178681478006,-3.4233382930932685,0.4628933413098232
TCGA.BH.A0BF,0.9467280241516486,1.0125972083128985,1.3482908803331188,-2.7253882949159096,-0.3687897339209241
TCGA.BH.A0BS,-2.601374317264613,-0.6334369797853366,-2.7294954770877875,1.476421626141622,-0.8563431863389855
TCGA.BH.A0BZ,0.011740523221861395,-0.3150077447707385,3.5646514633869324,-2.3508922634353637,0.4491707432073811
TCGA.BH.A0C3,0.7846501163787235,2.1015010080097007,-0.0767528999178899,-0.46644908753596837,0.960091990286233
TCGA.BH.A0DD,-3.0287318130877288,-2.8047396835629974,-0.06957399503435162,-2.7400496430798222,-0.5108069929616377
TCGA.BH.A0DG,0.5357939183105824,2.0293367347597018,1.2234892332653324,0.19242620107955147,0.26874404243348043
TCGA.BH.A0DI,0.945807898631603,2.339252024576493,1.3340964449442623,0.7532329143643005,-0.5520986832842258
TCGA.BH.A0DV,0.717199509132018,3.3378486212932468,-0.5847637734218472,1.7171120500500052,-1.078844693665004
TCGA.BH.A0E2,-1.3831614419895746,0.24326458529732853,1.6207033144442247,0.8454799737469109,1.506164097043341
TCGA.BH.A0H3,-0.03466508565658227,2.6602506245721216,-0.06482048691087569,1.3366327784877732,-0.41029366536122747
TCGA.BH.A0HA,-1.5850923417081013,1.608261038393261,0.6651981038590096,-0.4024892579117594,1.2003465301593024
TCGA.BH.A0HN,-3.539893517896819,-1.760018931225798,-1.4506762247447507,0.8702332163128703,-0.9095049155512739
TCGA.BH.A1EN,-0.9413728769869245,-3.3368420034025403,3.6701876059540917,0.1281621580111597,-2.342056248454706
TCGA.BH.A1EO,-0.9086591632406031,0.356859233008061,1.7412747028405993,-0.4745601636651421,-1.0240572864647788
TCGA.BH.A1ES,-1.7741739010044253,-0.9408040497387722,1.0380656057592046,3.0843576269615163,1.95661914577063
TCGA.BH.A1ET,-2.0984244706974304,0.9875984786056489,-1.720233842000218,-0.5380609219888848,-0.6713292438322481
TCGA.BH.A1EU,0.6473164056706309,3.334645856394215,-0.8442098687209241,-0.7207678505463501,0.7752611921769329
TCGA.BH.A1EV,-1.5119500954122067,-1.086276572317356,0.17582918872418268,1.3114621426441764,-2.828744320461278
TCGA.BH.A1EW,-0.1905991760944553,1.493699153909313,1.4276258932290675,-0.493391445131909,0.23552737926074124
TCGA.BH.A1EX,-0.46631032714555704,-0.43407012329091366,-1.0294295006735112,-1.9306691773697742,-2.908908793944522
TCGA.BH.A1EY,-0.07996631149022534,0.7366558056232513,0.8101866869601779,-1.6258062628411378,-0.9507875749216963
TCGA.BH.A1F0,4.339497407041803,1.0195328299281057,-0.3849226966625309,-1.369351129809664,0.7797146544593847
TCGA.BH.A1F2,-1.3281667320020103,-1.3594061892112181,-0.013338198314528076,-0.7107304684810135,-2.691016373951101
TCGA.BH.A1F5,-2.783109875063812,-0.8016712947084046,-1.9467379251433854,0.2554771977448262,0.28119321267799613
TCGA.BH.A1F6,4.442187837938423,-1.0637147764337436,2.1418635384256626,1.1576529639693713,0.2175093622306727
TCGA.BH.A1F8,-1.874253240200461,-2.736717469646808,0.1862745443101876,-1.720631643710308,-0.6316815777314095
TCGA.BH.A1FB,1.8873156090377674,3.7898135767102343,-0.8106630495108879,0.09959686780294576,0.17786494251847432
TCGA.BH.A1FC,4.4462614522380814,-2.522473486801021,3.0192615468458754,-0.5039317533497495,1.2024190917989064
TCGA.BH.A1FE,1.031849477837864,1.8681285036940674,0.7464057230569647,-1.7877710755838465,-0.24491205791297893
TCGA.BH.A1FG,-2.291444963718752,0.2449428136747957,-1.3177771338909605,1.2529058804699933,0.9140222589823115
TCGA.BH.A1FH,1.386257940789338,3.4779360777103148,-1.3796824323858592,2.5990540242211138,-0.012435576874970081
TCGA.BH.A1FJ,-3.4975410343086017,-2.0145635965350643,0.3789474707847613,0.7651134945666319,-0.6614001815101854
TCGA.BH.A1FL,-2.8567942465627842,0.436411021301256,-0.36007540712354597,-0.4392871922403687,-1.2836476140113833
TCGA.BH.A1FM,-2.336552134838865,-3.679869396226584,-1.2335943361991644,-0.5332516291128548,-0.6164980928899066
TCGA.BH.A1FN,-0.41036616928870967,-1.9865656564689873,-3.017644269973423,0.6912582438168197,-0.38394511335900383
TCGA.BH.A1FR,-0.46375760258829263,0.6512937024843091,-1.9433793140191995,1.0457510734302384,4.117074086544241
TCGA.BH.A201,-0.17462346595209144,1.5097403284854087,-1.705711252717047,2.433296129300444,-0.8666338085468576
TCGA.BH.A202,0.7406542152104275,-0.5241336608902488,1.6585173320884372,-0.5616844528617895,-1.4901627141121825
TCGA.BH.A203,1.0612661546500464,0.15106900539614573,2.651954905879807,-0.6596908760643823,-1.1543039862740814
TCGA.BH.A204,-3.6522027596605198,-4.242366110984671,1.5344199732996113,0.15758740639608568,2.592671278357089
TCGA.BH.A209,2.2231271927975165,0.562610776348433,2.7589854663603726,-2.3515744828026524,1.56171146693366
TCGA.BH.A28Q,-1.9121495492335032,1.6455511674020094,0.7954560526280682,0.9590356119827387,-0.47571625825006536
TCGA.BH.A42T,-1.7525759207897353,0.18695237626282413,2.4764631191177013,0.520984410438194,0.10690800068702551
TCGA.BH.A42V,0.44426990767572355,3.261799942205922,0.5919507759935377,1.0016429694207705,0.38927549940426914
TCGA.C8.A1HE,-2.6039400748561063,1.2329611629187232,0.4861920181854865,1.3618110131555519,-0.5132651392915142
TCGA.C8.A1HF,0.42905293889556007,-1.1932691784013227,1.0217032036100653,-2.1882995438743262,-0.6317077510409603
TCGA.C8.A1HG,0.19204478102862352,-1.7052524451139772,-1.0671090969947803,-2.9445829309335547,2.917540729312653
TCGA.C8.A1HI,-0.24799415216254617,1.11544784651453,-0.5563897935103145,1.9758796213079,0.3835167496131392
TCGA.C8.A1HJ,4.733573644972804,-2.57612300978035,-1.4346075388475754,1.066625682872201,0.5809103439734176
TCGA.C8.A1HK,-0.9658914046570242,-3.0443562272034095,-0.900893812066927,-2.6583387929685034,-1.3024103611087459
TCGA.C8.A1HL,-2.5159419847601616,-2.6670256265575856,-1.109939959383215,-1.6707093189574838,-0.03681073293988183
TCGA.C8.A1HM,-0.5052577469962163,-2.5671663724744924,0.1739645840912702,-5.350241290735277,0.3968912264913134
TCGA.C8.A1HN,-2.0509090940296106,-3.2233247475376925,-0.10981648458715203,-0.5191092024197286,1.0979849945377793
TCGA.C8.A1HO,-2.799917920101696,-2.0524219549945615,3.331334978376817,0.20917838458600732,3.6134745461829514
TCGA.C8.A26V,-1.5854035444312817,-1.4317409132879453,1.5148532546274627,-0.23786703155506153,-1.507904334467287
TCGA.C8.A26W,-0.353904227098833,0.7392635331722625,-2.4567240774342753,-2.1385867704127244,-0.09671802333322942
TCGA.C8.A26X,1.7137214123897258,-0.14610195209078816,2.0835585513754435,-2.885200329876586,-1.6896910577250865
