,MOFA_methylation_Factor1,MOFA_methylation_Factor2,MOFA_methylation_Factor3,MOFA_methylation_Factor4,MOFA_methylation_Factor5
TCGA.A1.A0SF,-0.5840386329307783,-0.3337744291481356,-0.9129742433692755,0.4898195707614524,0.7328644548826054
TCGA.A1.A0SI,0.10400743109507925,-1.008461472824182,-1.2961943746799005,0.9044616942005573,1.5377810282443618
TCGA.A1.A0SN,-1.3639206154212884,1.8195931707446285,-0.4848503023427622,-0.2464285078421903,0.18313822927057907
TCGA.A1.A0SQ,-2.407904497134589,-2.107269172850344,-1.2826000212140891,-0.03628150807147973,-1.472705318064956
TCGA.A2.A0CK,-1.2222875225933763,-0.5135181603677469,2.1112244737360357,0.14209115134669198,-0.7159152599248946
TCGA.A2.A0CO,-0.8047739899445489,-0.13362252569144936,-0.4084002596968795,-0.4030352314891147,1.365977706840262
TCGA.A2.A0CR,1.3177488751408646,1.3765082932624302,0.3582207950810983,-1.6495789180510874,1.533235836923595
TCGA.A2.A0EP,2.7755667930079344,0.9460117930532318,1.473935030119886,-2.261802450790658,1.4568489568778018
TCGA.A2.A1FV,-3.4932451850000428,1.4632724402150266,-2.910041489885282,-1.839901647751999,-0.9721523993992188
TCGA.A2.A1FW,-3.14560254255868,0.4466045520725275,-2.1003687404373808,-1.402388097003728,-2.492723600914071
TCGA.A2.A1FX,-2.0313547773650815,-0.5801864039035145,-1.9059557291618374,-1.1799003763002773,-1.0249531195127328
TCGA.A2.A1FZ,-0.17534989312905228,1.3600466706497272,1.7706298639805271,0.16519417474085005,0.8259716088289826
TCGA.A2.A1G0,0.2825858650305917,-2.053065212350411,1.2234519590167336,-0.8972177520400272,-0.40002295405619653
TCGA.A2.A1G1,2.948968364044177,0.9084377213476379,-1.5800194129114589,0.597408616778267,-0.23823212582673
TCGA.A2.A1G4,-2.5668556833633898,1.245890875351916,1.4547274055167931,0.11431293738418556,-1.1268230889666142
TCGA.A2.A259,0.9009865237702597,-0.9857644299156815,2.0258499444012075,-0.6550403771214423,-0.028373601449581676
TCGA.A2.A25B,-1.9230867954669362,-0.23830330288772822,-1.6537965123021632,-1.703217930807511,-1.4424890240832648
TCGA.A2.A25C,-0.6209621652902356,-0.4598614527549635,1.3073336642379039,-0.8268230713038149,-0.0025447719873172322
TCGA.A2.A25D,-0.40598523418134824,0.5332097607281074,-0.5052699355507232,-0.07723959827626255,0.3806105971274822
TCGA.A2.A25E,-1.3362689091229152,-0.01880665133423033,-0.08538948653497985,-1.999689522138491,-1.7533543989094316
TCGA.A2.A25F,3.4026313181679817,1.1651551344289908,0.8531751433396965,-2.4950248320752264,1.0626994220040122
TCGA.A2.A3KC,-0.6887570088374769,1.7304553421536832,1.1641065297860924,0.38650091580761303,0.47852024729136766
TCGA.A2.A3KD,0.4063870625577928,-0.5810598967239495,1.7127350151191238,0.23625175334685633,0.20529475570419034
TCGA.A2.A3XS,3.359987032100545,1.6666232172121271,-0.9881823962871336,0.7106911361245523,-1.1782977804050465
TCGA.A2.A3XT,3.275707290456921,0.9522786913139092,0.4373519948311676,0.38494664350956187,-0.8414253274833373
TCGA.A2.A3XU,3.034656763720641,-1.3043376094720414,0.6551023918675268,3.9719019514667635,-2.0932771680123414
TCGA.A2.A3XV,-0.6560293344299176,3.0441247244464313,-0.051255516649247206,1.1728555531273293,0.9995572320089784
TCGA.A2.A3XX,3.5841781991463018,1.1944648030347795,1.0051118836124533,0.365498350019309,-0.7475446862662741
TCGA.A2.A3XY,3.686490973266858,0.3637207385344749,-0.5037012994911287,-0.20937118156091133,-0.4287806920784782
TCGA.A2.A3XZ,2.0945025683991374,0.8494146062795243,1.5549987783508719,-1.0119243205380606,0.27447141605504816
TCGA.A2.A3Y0,3.7694343391253615,-0.7084219081291705,-0.44566720765942885,0.1784028185367843,-0.21772967617934308
TCGA.A2.A4RW,-0.18454642208089256,1.9718461488197943,1.4790550021051885,-0.21448998938654915,-0.0369171830520374
TCGA.A2.A4RX,3.4922084709105903,0.27536163351975806,1.0042807048508195,0.3742527044796085,-0.3129089383514283
TCGA.A2.A4S0,-0.4950743409011987,-3.3132494555621324,3.0284029696211054,0.8042163922262859,-1.3805520227757748
TCGA.A2.A4S2,-0.7967045311293172,0.879773189747452,0.382153308269121,0.029076184587861553,1.1503101787639258
TCGA.A2.A4S3,1.2269902666802202,-1.739440620820569,-0.554956343209637,-1.3755620048817165,-0.5612146633988716
TCGA.A7.A13D,3.488812922574036,0.49055771598540804,-0.5961730841746674,2.408330219350271,-1.872588331883972
TCGA.A7.A13E,2.8190849162728746,2.5619967497048854,-3.880878522404393,3.5136061235468556,-0.4348525133269519
TCGA.A7.A13F,-2.688134605806864,1.0981298787806066,-1.6535350737279124,-0.37119782258810347,-0.08916722283179983
TCGA.A7.A13G,-1.3450048828106056,-3.3771362360749695,3.023024670383963,2.1027918776307137,-0.3735024504048163
TCGA.A7.A13H,0.2443851756611063,-0.02405684712638486,1.265322536333892,-0.3019042342956901,0.8761265922623759
TCGA.A7.A26E,-1.9986920580938456,0.8738118468912829,1.8393067664685172,0.22975448924835165,0.23146019188978215
TCGA.A7.A26F,1.9424771648160355,2.1187591865046533,-1.4253616721663342,0.19270429491969532,0.6509403344460051
TCGA.A7.A26G,3.3361874080644984,-0.5041885978256501,-0.18903687047217194,0.16497707783790388,0.26029671106710606
TCGA.A7.A26H,-1.4297458230855657,0.36200437931947665,-0.5012415575255337,0.4484035598191229,0.6791513053029785
TCGA.A7.A26I,3.9572383296162092,-0.5230084313072951,1.0528299273248551,0.5991000250990911,-1.3217855811395114
TCGA.A7.A26J,-2.2280808935464917,-0.19575971845321694,-1.3896759098419564,-1.6543827409312155,-0.05399790161127012
TCGA.A7.A2KD,-0.41597790161654974,-1.7463063150232854,-2.1167079521577756,0.13390863620622678,1.0021581678606546
TCGA.A7.A3IY,1.8681980626386652,-1.5744601060655665,1.8950399205459767,0.5965691381256152,0.1991306695278
TCGA.A7.A3IZ,-3.624293935444103,-0.6451965778120474,-1.2962867288781807,0.7765403109985388,-0.350236601573773
TCGA.A7.A3J0,-0.2564659577883673,-4.7403906593768825,1.821361899218176,1.7746649001296142,-1.1317992726563764
TCGA.A7.A3J1,-0.22873368643281372,0.24398250584072032,0.6299643111681187,-0.3178496858655456,1.3541510574580797
TCGA.A7.A3RF,-1.7229633654737502,-3.557519030425876,-0.47461904405818045,0.12030201809513177,-1.299801693281577
TCGA.A7.A425,-0.37355084145359657,-1.1444888331180065,-0.5655957668153521,0.2825061367801439,1.0940903266770017
TCGA.A7.A426,-0.019146349436126815,-0.026810519525484806,0.21769779316745122,-0.79676469885339,0.6006351403734262
TCGA.A7.A4SA,1.0984590566076862,-0.7696044756188387,0.19306636250727785,-1.3934972107611137,0.018549123515970867
TCGA.A7.A4SB,-1.0391658519805074,-1.9969703661657394,-0.47047835609195965,-0.1328492438970129,-0.13351754012459796
TCGA.A7.A4SC,-0.2756857313706439,2.085360484479394,1.5851002534267875,0.7320502498964597,0.7282814087562507
TCGA.A7.A4SD,3.4200881933000074,-1.9787134976849958,-1.7393084461511839,0.08157462116232231,-0.06691443275997282
TCGA.A7.A4SE,3.6039044636042608,-0.11643864445231661,0.3055540732804048,0.944368667577784,-0.932031007648305
TCGA.A7.A4SF,-1.42063773083822,-1.6700504441752047,-4.163510315343158,0.7246139420379432,0.08404272257336827
TCGA.A7.A5ZV,2.403206004933632,3.648719973722123,-1.9675764297871337,1.6501890509754837,-0.7743774920310565
TCGA.A7.A5ZW,0.8548067470423193,-0.28609873422339843,2.1380427942577476,-0.05079893879428534,0.5720706528419977
TCGA.A7.A5ZX,0.07302324967650209,0.42736367744064396,1.859187893007565,0.9405213884002552,0.48707835697411733
TCGA.AC.A23C,-0.08150102568522828,0.6535440537136001,-0.2902478857615102,-0.44970263683566103,1.1476748446208702
