model,accuracy,balanced_accuracy,macro_f1
MOFA_RNAseq,0.8518518518518519,0.8653874269005848,0.8344750765803397
PCA_RNAseq,0.8333333333333334,0.8510014619883042,0.8088381330685203
PCA_concatenated,0.8425925925925926,0.8016593567251462,0.7968316193552042
MOFA_shared,0.8240740740740741,0.7928874269005848,0.7878226103461953
MOFA_methylation,0.75,0.756593567251462,0.7382308779367603
PCA_methylation,0.75,0.7509795321637427,0.7299423147637434
PCA_miRNA,0.7314814814814815,0.6756067251461988,0.6399199637571731
MOFA_miRNA,0.7314814814814815,0.6699926900584795,0.6340968875852597
