,miRNA_PC1,miRNA_PC2,miRNA_PC3,miRNA_PC4,miRNA_PC5
TCGA.A1.A0SF,-6.1793953657612235,1.8601197930249498,1.793912636960271,-1.5025633582475306,0.010262860137326042
TCGA.A1.A0SI,-5.196663162084752,5.194070505869752,3.1148778325118585,-6.568769050549765,-1.8197102774521974
TCGA.A1.A0SN,-9.367181788076762,-2.974459885128963,4.604059056376385,-7.1482469577735825,-1.0437741264849472
TCGA.A1.A0SQ,-7.31046023817005,-12.101378822791236,10.301291178168281,-2.7639806087071634,0.453139316618951
TCGA.A2.A0CK,-5.376969492069387,2.1438827554890594,-1.9414407707443126,4.992088127501321,3.864245483515753
TCGA.A2.A0CO,-8.479978236216215,2.134536525793905,-2.857429398854147,3.3524971672843775,2.779947975211157
TCGA.A2.A0CR,-9.348077634584708,2.7399816774261994,-3.7300798113448073,4.065676653243099,2.095635380443727
TCGA.A2.A0EP,4.134301089813756,15.02184073031751,-7.953586480370348,3.814409782766509,4.006107890611159
TCGA.A2.A1FV,-1.7279008421011095,-1.3881824487249874,2.98393025519236,8.141743760656453,2.236218988775586
TCGA.A2.A1FW,0.7109277072552185,-2.9425223590091703,7.34090010689525,4.376532471319302,1.8124008415745094
TCGA.A2.A1FX,-6.752740637096511,-3.940499260239765,-1.856427353214829,0.9139370657498361,-1.117890763022597
TCGA.A2.A1FZ,2.3052469144964696,3.2018292987059693,2.9091446197537545,-3.197761879629902,-1.2537167903447435
TCGA.A2.A1G0,-5.979767505117898,2.610005570005078,3.49603162331956,3.2994089756513656,4.911164914490804
TCGA.A2.A1G1,10.327177565088268,3.39290341119741,0.5423196246936723,2.5703361807961866,-0.1618784077658831
TCGA.A2.A1G4,12.72740342206588,-0.879800214021959,7.933351485504538,10.027662537898026,5.317904308488768
TCGA.A2.A259,-9.436313861737775,-0.35370703166849293,-4.933737127675026,-0.32643372790825825,-5.404261372884721
TCGA.A2.A25B,8.11268840981609,-6.158614923576946,5.887361615415347,-3.9555401080609967,-8.968410503988638
TCGA.A2.A25C,8.367552567735101,-0.5518131848876456,8.147140511918174,-5.258698714230009,-7.495997178854482
TCGA.A2.A25D,-4.589219067953354,-6.907267498180369,-7.4819813442650585,3.749464546656747,0.5403312916019857
TCGA.A2.A25E,11.046494070460417,-5.353692042231884,5.67499670030086,-1.857597167583471,-8.987846776510853
TCGA.A2.A25F,13.454084366503,3.2810056830208927,-9.335167130803699,-7.911996204184333,-10.211251466848877
TCGA.A2.A3KC,-8.857901969315197,4.3366475829104045,-5.25160828075149,2.02699031326665,0.7884188504426644
TCGA.A2.A3KD,-7.413462100277216,4.230025239607019,-3.7723055851239065,4.6154265992298384,2.6724670246534963
TCGA.A2.A3XS,13.098627013320097,0.1034805365654973,-10.253944254004189,2.077157693851686,-1.6468241384995352
TCGA.A2.A3XT,16.797563309315326,-0.6461830177727349,-16.331315715341198,-6.325951034609286,10.538782807336402
TCGA.A2.A3XU,10.978375901517525,-8.95683783788685,-11.292213012398214,2.959552006032649,-2.014985566772251
TCGA.A2.A3XV,3.7907083192084667,0.9873898702126519,-2.6581865336773305,2.8053477033091214,-3.458740558101986
