,methylation_PC1,methylation_PC2,methylation_PC3,methylation_PC4,methylation_PC5
TCGA.A1.A0SF,-7.904892644171725,-5.66852083161863,-5.144362580571999,2.443569871339563,5.110811640309933
TCGA.A1.A0SI,-1.4155140106645518,-12.525501164771924,-6.120030781087991,4.179435094608098,10.607661512174342
TCGA.A1.A0SN,-13.12255117363185,14.7923060914324,-5.48207404560497,0.1066231122416256,2.4269150979002565
TCGA.A1.A0SQ,-27.768724460982778,-18.324199477963447,-5.1072543040869425,-1.8862155004862502,-9.992728575544241
TCGA.A2.A0CK,-9.96011424912685,1.3346012672235603,15.807166790833298,2.341682252704244,-6.045587451434792
TCGA.A2.A0CO,-9.609573258435606,-1.5462789437146016,-0.702938484703292,-4.002609876970864,9.12885776733044
TCGA.A2.A0CR,14.63392030935911,12.645720364361654,1.2843299658565497,-11.608720762067692,9.109044494013792
TCGA.A2.A0EP,31.648942870350023,11.801766592467066,9.008419276516856,-16.198514307990234,7.960535687718053
TCGA.A2.A1FV,-39.71836936798294,11.55060417457172,-20.670321559627094,-12.070616401625577,-3.6525679963563467
TCGA.A2.A1FW,-33.621266988670236,3.3710773304197126,-15.545427289857384,-9.673513985930887,-14.858199319823138
TCGA.A2.A1FX,-24.28525671465126,-5.851252324858622,-12.312005291514195,-9.600086524188088,-5.87494614805223
TCGA.A2.A1FZ,0.02882698903493665,13.283477321417065,11.879604132873634,3.3912209084269214,4.075639487276687
TCGA.A2.A1G0,3.0820179892075092,-12.746118578581452,11.561729129047954,-6.866324668169827,-4.936205840821845
TCGA.A2.A1G1,27.927151789036714,1.9525145080741806,-14.935731970059123,4.004603768699968,-0.20532870865115352
TCGA.A2.A1G4,-23.62313431267281,14.235948582825852,8.93302357495814,3.075777958857594,-8.258725480246643
TCGA.A2.A259,11.528518534841165,-3.3337409375044817,15.304362750966273,-4.316203433454554,-2.707399176487511
TCGA.A2.A25B,-21.24840556061368,-0.8376429740744596,-11.81215600058004,-11.729794645820196,-9.229660769043408
TCGA.A2.A25C,-4.239470212853409,0.6813851528230611,11.483392667588227,-5.163318495996231,-1.4650043814908313
TCGA.A2.A25D,-3.749139907206516,2.696773802896308,-5.266674475780865,-1.4019215815633035,3.1372382647759687
TCGA.A2.A25E,-14.135361671980062,3.1914289298157645,-0.1554654098289807,-12.078910541231902,-12.865893107281783
TCGA.A2.A25F,37.71499054326287,12.523220989385901,3.043399688959041,-18.216979253582718,6.023931731432182
TCGA.A2.A3KC,-4.74969379158796,16.157396462836296,6.1948115087429185,4.785433869684283,3.3172289549483396
TCGA.A2.A3KD,6.039025273748572,-0.9141501353079322,13.791179464398017,2.7598353985361657,-0.6111434290481486
TCGA.A2.A3XS,32.28451950014474,8.960967540358794,-12.34867390885188,7.275575212041094,-6.610138512195785
TCGA.A2.A3XT,33.676923599673444,6.642364730511274,-1.1344529418178015,3.9406833753278616,-5.467363248428164
TCGA.A2.A3XU,31.690517231883494,-14.912585911976148,0.018896893202455547,27.159744549779195,-11.862153980012657
TCGA.A2.A3XV,-4.953119738668709,22.70982753016452,-4.830084772633959,9.653805888092087,6.929465057135301
TCGA.A2.A3XX,37.972229125107276,9.554528965644925,2.227729868103968,4.702635545212491,-5.09570073917843
TCGA.A2.A3XY,37.127027503294165,0.30861794257752523,-7.295891296617048,-1.7834117461904953,-2.390983400656929
TCGA.A2.A3XZ,25.304510081232326,9.433109701006499,8.368040923977556,-6.364665797245919,0.14495578181931587
TCGA.A2.A3Y0,38.39045447473864,-8.866787221563461,-5.846425649223451,-0.3943109652416133,-1.005336843407856
TCGA.A2.A4RW,1.3149457292132358,18.999669803873907,6.983313987261204,1.1868966081417882,-1.365936722773635
TCGA.A2.A4RX,36.43204693830159,1.9730673379669637,4.300486281308047,3.240433362323073,-2.7394766153828107
TCGA.A2.A4S0,-1.7386487879627839,-19.406268846086704,24.8983898064569,4.297177467035624,-11.186437792802367
TCGA.A2.A4S2,-7.585251524846738,7.945497202078864,3.3817673944131337,0.43619902811305483,8.375525941236425
TCGA.A2.A4S3,12.255969856599267,-13.260227142618223,-3.067735759610059,-11.609292224709915,-4.26214250335334
TCGA.A7.A13D,34.569139648087045,-1.7426510659684984,-9.57103424403751,17.737900691841475,-10.577965426009454
TCGA.A7.A13E,22.34597212811386,5.978518289451386,-33.156561075290576,25.60334267245618,3.2308335286221643
TCGA.A7.A13F,-29.703094909651174,6.773415118670829,-10.546238420157312,-1.8284533014752689,0.6348099331935735
TCGA.A7.A13G,-10.453817435975374,-21.095205720778406,26.27198898372057,13.633541477967704,-2.584434178980783
TCGA.A7.A13H,3.549423505213492,2.394701253158676,10.095203588070197,-2.034546968256714,4.402397052457147
TCGA.A7.A26E,-17.7766348669278,12.786416695185991,13.340844319400608,3.0211256668016517,1.3623203855294506
TCGA.A7.A26F,19.006466816374694,12.592470309787885,-13.970495407848079,1.659169891479758,5.425177792078476
TCGA.A7.A26G,33.869923084020456,-6.904546928746282,-2.769481730159924,-0.5915398989180611,1.5316560253254168
TCGA.A7.A26H,-16.03098944496458,1.1021585044653825,-2.417634062879221,4.12869578514008,4.438499386579897
TCGA.A7.A26I,41.17018054927521,-5.273804475666605,4.924057416228125,5.699292634915029,-10.199005282776323
TCGA.A7.A26J,-25.149309144524107,0.5807827196424691,-6.752043394837296,-12.462799232651216,0.01711624558112273
TCGA.A7.A2KD,-6.233306015573638,-17.75615065811078,-12.124624306233576,-3.1555867972671825,8.463299423074139
TCGA.A7.A3IY,21.803570700766176,-9.654685366215798,14.317079729973178,2.826124757938684,-0.2041025590781208
TCGA.A7.A3IZ,-40.4660440559467,-7.331366955885317,-5.679116407892457,4.923473067186368,-0.16987049633216736
TCGA.A7.A3J0,-0.54133966073271,-34.156099319095034,17.848737096460322,8.621255141580153,-8.219946220926595
TCGA.A7.A3J1,-1.567242744486043,3.9035402954894542,6.578496357034836,-1.777099463633595,9.036549977329885
TCGA.A7.A3RF,-20.691499337123975,-28.946077299092167,2.6762237984035,-1.438445450774275,-9.77620533082485
TCGA.A7.A425,-6.256347778577035,-10.81121599165639,-1.051433050944193,0.02977259489485597,7.788730460945686
TCGA.A7.A426,-1.1827979979835366,1.4026340362134642,3.226945657182975,-4.990698735423211,2.559025749448618
TCGA.A7.A4SA,11.660056785092044,-4.484515520409138,1.8431817045435899,-10.76725157291886,-0.45737753104626794
TCGA.A7.A4SB,-11.569183636161243,-16.51313336597404,0.8231958355258464,-1.961001069465264,-1.189497979491435
TCGA.A7.A4SC,0.35620057672031036,18.490715787673384,8.515867016976358,7.466938928151926,4.70564577685405
TCGA.A7.A4SD,31.807001754759273,-21.210185418191053,-12.204046825440352,-3.29940301377914,0.4835562073933061
TCGA.A7.A4SE,36.73709094109073,-3.2373812382760163,-0.9274454791609303,7.295752152478281,-5.234062033426964
TCGA.A7.A4SF,-20.81705091307773,-22.81910457764857,-27.8068436465491,1.3397040031576442,4.0993702583955205
TCGA.A7.A5ZV,21.59253871832193,22.02349440873877,-21.28294613053188,14.498010996326672,-1.7720652378988269
TCGA.A7.A5ZW,10.80910958830973,1.718136278448787,16.200798605647922,0.5493046907933189,1.2710232495121931
TCGA.A7.A5ZX,2.288318244436935,5.4200914533615405,13.730709509172126,8.192555651553322,2.039804450739284
TCGA.AC.A23C,-1.5578511227970004,4.655575096802952,-1.6944206804069375,-3.3388075366550445,6.8643279936512736
TCGA.AC.A23E,-15.32475666852245,-3.094299595288478,2.4979226000722496,-2.453522773265203,6.627490974479518
TCGA.AC.A23G,10.346131534462742,1.4798884725467958,6.149823338240625,-2.165135575013579,6.541213330617664
TCGA.AC.A23H,-21.663480690072756,38.12722499656445,-18.897106573655254,-4.919413541765924,1.04052837032277
TCGA.AC.A2B8,-5.686388301796059,-5.720107473434768,-1.3355862499137452,-1.732458559589471,7.707635440541014
TCGA.AC.A2BK,31.35585491604283,-11.867783598046183,-25.7013940202882,15.113583185691,-6.613519218438365
TCGA.AC.A2BM,-15.284936106211799,8.178804095721166,1.174475416518827,-10.511304677494316,-13.859329452516313
TCGA.AC.A2FB,18.081207645480873,12.386003958321014,6.592431577875953,-8.859563516321774,6.011780749456343
TCGA.AC.A2FE,4.261650699210791,20.163777907801173,3.4663564971268395,-3.355504550915485,6.288631060036387
TCGA.AC.A2FF,20.99650930592852,4.063644513074148,12.630297628077587,-7.570595549896371,1.9609046690596164
TCGA.AC.A2FG,-4.5566068526678105,-11.134105435939288,7.565856181546316,1.8686830638718697,8.326371510245417
TCGA.AC.A2FM,-33.27307940270253,33.44942719743545,3.332043091829473,-0.19915085353752202,-12.024913891463699
TCGA.AC.A2FO,3.0766543614304007,8.455629004948255,-3.701144017797959,-11.443085673926932,5.847069694458813
TCGA.AC.A2QH,24.200893207241506,-9.834684136081373,-9.759782583859575,-3.6306405030615503,-14.724613782629724
TCGA.AC.A2QI,-7.66585196152273,-17.6342143387006,-5.9890844616484005,-4.46751637852894,10.44877640573539
TCGA.AC.A2QJ,34.324267703223136,-14.560090595630722,-6.454210510752861,-8.140078256519015,2.4601014793918727
TCGA.AC.A3BB,3.1463652712074492,2.515210108519647,4.485696057904261,-5.404902928979082,9.354227062616797
TCGA.AC.A3EH,-30.669072637058584,3.735484931945079,-8.108135015896728,12.822355405183732,13.268742557782566
TCGA.AC.A3HN,4.852346527475137,4.041939414083502,16.034144456662382,-1.6382052955266169,4.197489986771773
TCGA.AC.A3OD,2.5592238971844417,21.19164473951192,10.806050439971473,1.3937262717935055,3.0786474732010953
TCGA.AC.A3QP,9.513151774838075,-2.9848342017663922,8.704201856939816,0.6515149333574468,3.08011294716553
TCGA.AC.A3QQ,-22.58943427165305,-8.40836352999114,-6.235658971555303,-6.746718838938003,10.899250024568284
TCGA.AC.A3TM,-10.686205729445836,1.0003192204908438,10.064202970716705,5.243843078962654,5.108811606499581
TCGA.AC.A3TN,-30.56378442288925,1.6337050680843153,10.980103543532676,9.571204096812744,7.029469650037832
TCGA.AC.A3W5,2.116538493334264,7.211843258938736,-8.454865027605983,-2.5534963328402465,9.146665132024454
TCGA.AC.A3W6,7.40576940782506,3.0882026373365252,3.048320760946606,-3.567312859803595,8.70546590715064
TCGA.AC.A3W7,-8.055489159969357,2.175667497053726,14.463075114159405,12.326808446641547,5.427932623912812
TCGA.AC.A5XS,3.988799567481044,-0.8558590170223876,-5.493769629197793,-10.42800981816317,6.077032789680623
TCGA.AC.A62Y,-0.6317129901517895,-12.876987137790554,10.589389816666275,9.163080935178368,5.904387115036458
TCGA.AO.A1KP,-38.45519535016522,-3.228860518326407,-6.758094527896646,-3.0946593081957596,-5.895584038797922
TCGA.AO.A1KQ,-8.692656530197658,-16.945182282146583,-10.784421569645792,-11.356629244049843,-2.5099506146478876
TCGA.AO.A1KR,25.34628071496505,7.900167163002683,-12.262603623473792,10.278349063419942,1.7394558011590224
TCGA.AO.A1KS,-10.488453897790292,8.15020142800852,7.600785479212269,6.368356123556917,-8.41666632171607
TCGA.AO.A1KT,-16.025615059404437,-15.697026947591208,-22.210346127310316,1.4187202993361494,1.416203221316013
TCGA.AQ.A0Y5,-9.533296622616083,-4.877470823450746,-4.65246461834209,8.762815832704465,-2.6124554004448157
TCGA.AQ.A1H2,-31.74731300390126,-27.257999559701155,-14.826257829510041,7.906421372617012,2.565150237503757
TCGA.AQ.A1H3,-6.9757336481081476,11.646082033178661,7.166057970157861,4.148651338225855,10.36520694270007
TCGA.AQ.A54N,35.92899836136218,-6.167548525005821,-12.800264858438373,32.549781079064914,-7.7042570794404055
TCGA.AQ.A54O,-7.597188843052754,-12.545578934922872,12.773528634501533,2.730078619564125,-6.1587800247865125
TCGA.AR.A1AI,35.14388420989795,-12.434696408426781,-14.856756611592049,-2.9360114995785,3.079114430251227
TCGA.AR.A1AJ,39.383611869179575,6.6987267013541425,0.9854818325358363,-8.391609499449428,3.1775251836020737
TCGA.AR.A1AM,7.916257759192122,-13.812999568614071,7.618064289962138,-0.6569071092279927,0.4673028453693279
TCGA.AR.A1AN,5.271652325688271,-13.10479550937966,10.60486408499359,3.49994904645055,0.9872809102405709
TCGA.AR.A1AP,-15.55566118495753,11.733135286142213,2.9484069303598317,19.43221388199842,3.4563724340757314
TCGA.AR.A1AQ,34.36082911218011,14.238402830343702,-2.5344657464420903,4.5006974646198215,2.524557103698517
TCGA.AR.A1AR,33.860708753116114,4.500557712727752,-2.306676952118859,9.099604043406066,0.8431598138170333
TCGA.AR.A1AS,-23.17929019869722,-14.563956578556281,-4.782934299841522,2.8805071459712375,14.196706627628124
TCGA.AR.A1AU,1.2279130761369481,-2.322995001894215,12.324318162710517,4.627648308250511,-12.919102749615044
TCGA.AR.A1AV,-41.3725480894921,5.838132157121361,-1.388215518724175,12.98775403986948,-0.4954837715273506
TCGA.AR.A1AW,15.93452460394266,23.32544471589977,-0.6374771142826037,-11.095122363041257,9.59558958315263
TCGA.AR.A1AX,25.30703139430219,3.663877548415536,8.027904779762192,-9.77577412889027,3.7268511745840653
TCGA.AR.A1AY,39.12634121249085,7.796578847974972,-4.9688247681704665,28.687928239708544,-7.480351884975127
