,RNAseq_PC1,RNAseq_PC2,RNAseq_PC3,RNAseq_PC4,RNAseq_PC5
TCGA.A1.A0SF,6.211500216640502,19.819787016733937,-2.6648121805139717,1.321355740959878,-4.628330120293932
TCGA.A1.A0SI,-1.2490379860352963,7.363491237301745,12.175192351818923,-10.944895479261461,-1.8510963044136386
TCGA.A1.A0SN,3.1123182450179883,-0.018427908964573993,9.450012401544672,-2.4952206130394528,3.33904408305326
TCGA.A1.A0SQ,15.22669771066177,-7.718116088619774,-4.618466991827087,9.327115146451556,4.5206095128979635
TCGA.A2.A0CK,6.488029474848088,16.747740308237102,-12.924877502767048,6.9075896990677,-3.5444429486971716
TCGA.A2.A0CO,-0.6066068358757419,29.897037429416663,-4.823248808762459,6.123032823117566,-3.239229978212222
TCGA.A2.A0CR,-6.7876706098110375,29.70466399377737,-2.575810608707353,13.443673201748014,-16.38690127686243
TCGA.A2.A0EP,-5.038012705056782,25.85257228497771,11.343758678772774,11.479620821503868,-3.4450238763220735
TCGA.A2.A1FV,15.344561569578765,2.1033227702478916,-15.578834103321222,3.8181716127315153,16.803951049658274
TCGA.A2.A1FW,8.107658284676665,-4.1571065557238445,2.717827824311792,6.151225324044878,16.212953456313436
TCGA.A2.A1FX,14.490224385915068,-7.667218679896056,-2.158403196978204,14.205241457136397,9.138407785139659
TCGA.A2.A1FZ,6.820526012574519,12.953445929865605,-3.57661223319036,-5.723119511884812,1.7814410583812097
TCGA.A2.A1G0,9.204753001623445,16.689424442260187,-6.64089001139347,4.095394115067023,9.241491145248792
TCGA.A2.A1G1,-34.28309492163627,-10.834241736425328,6.045604475139509,-3.4876168491462973,10.542337175605555
TCGA.A2.A1G4,13.201690818794786,-7.853751638204706,-0.5005782603696358,7.990017870283743,8.150280576827289
TCGA.A2.A259,4.416940932400504,16.00547885158122,-2.9767855250032627,2.1830037817730945,7.631229290589206
TCGA.A2.A25B,7.75716045478149,-16.870919939821945,15.495774598503074,-2.0852894443216563,7.847576855115475
TCGA.A2.A25C,9.384636987730387,2.430647922921419,5.816501471587588,-2.2624716447983966,6.242929377445735
TCGA.A2.A25D,-0.6764248006255502,8.331031526399515,9.067108136969964,12.603283712279397,-3.7461439989978986
TCGA.A2.A25E,10.527075086703992,-5.576592494622987,0.47836382238014286,8.01632640519989,7.414723987953245
TCGA.A2.A25F,-29.153826995266726,10.731869445940974,11.477755519052488,16.556768844550746,13.766587109261096
TCGA.A2.A3KC,3.8648923982198737,15.76558060152047,-5.928861385648821,-3.5312046241733874,1.5371410950433426
TCGA.A2.A3KD,8.389106851943218,9.468300322069608,-11.182408310253935,-1.2391318808384515,1.4559990647187602
TCGA.A2.A3XS,-35.19650113762281,3.52431687582887,-14.430455515738473,2.7978725287857995,-6.947945222872531
TCGA.A2.A3XT,-28.745256348205192,-6.998466764030003,-2.83149603055378,10.292395470256928,-6.192894949917983
TCGA.A2.A3XU,-29.69811892236148,-18.012341780645563,-23.0568777615067,-6.444137854239078,-13.095261690857749
TCGA.A2.A3XV,-3.472196812245103,-13.988927397792894,12.27982028975328,-3.636740931156706,-26.493804796187067
TCGA.A2.A3XX,-35.58307523966746,0.5006309517539229,-14.086118404750207,3.8336240071129866,-6.172735743255576
TCGA.A2.A3XY,-34.46203413486262,11.658236169320586,-8.534375840839452,4.758363042816286,1.012085301045184
TCGA.A2.A3XZ,-12.869193122543193,11.959495439451919,6.051864522642516,7.615367785042339,-10.366209321834303
TCGA.A2.A3Y0,-37.86914946398119,-9.732019011620677,1.5939143713043356,5.474477262350372,-15.482304515216573
TCGA.A2.A4RW,4.271817297050072,12.688533276570947,-0.7078763554938632,1.951936833188239,1.1909558544895447
TCGA.A2.A4RX,-31.226322602968718,11.268989665509409,-8.801335388637959,-6.443963620228642,11.952258892400485
TCGA.A2.A4S0,23.80349886832417,-19.575378837299027,-18.16961437649084,17.98366272169518,7.732161052570536
TCGA.A2.A4S2,5.247680222443087,10.978009891862664,0.20789037700151516,2.8700040619353215,-5.016647966106555
TCGA.A2.A4S3,-2.261291230591484,-3.797585770420934,8.750370739493109,7.07399787944514,-5.693326388677709
TCGA.A7.A13D,-30.624262447622918,-18.434310614030764,-15.721189520635267,-13.360661080249828,1.2728459794091993
TCGA.A7.A13E,-33.26593923910895,-20.04557654426521,-15.37015611086135,-5.2510839878087365,-1.4306282828982524
TCGA.A7.A13F,16.041562014044874,-11.6735617416026,-7.429827989664896,0.7181154605620628,1.2154723692687923
TCGA.A7.A13G,21.176970105900555,-4.486361543602496,-8.748681944001582,-11.134987000129241,-7.789747477417099
TCGA.A7.A13H,1.8268092121418698,20.707988834172667,-4.346576682386843,-1.6114074028866647,-4.527829404220521
TCGA.A7.A26E,12.74573396778688,6.397521396680371,-2.1431421176653234,-15.143159245391743,6.3403062615803
TCGA.A7.A26F,-27.379386828103126,-4.960216105448234,14.985691549692154,-15.789024668161513,3.4700026649292814
TCGA.A7.A26G,-25.094303456032137,7.693095596944912,2.7243575474978132,-7.668252445243085,14.642795141965209
TCGA.A7.A26H,8.281214807540483,6.698165046135905,5.605878017333397,-6.645287562331389,1.4671835077704658
TCGA.A7.A26I,-26.837809972441296,-13.513798613989875,-6.514764775587692,-13.286436147254038,9.25232933562698
TCGA.A7.A26J,11.427723371216763,-0.46510343561385414,0.08902045449805403,-6.483469240001206,6.053486042075292
TCGA.A7.A2KD,3.7729434857799897,0.9532681086889598,7.95549400357151,-3.5074126021775056,1.4118338645234114
TCGA.A7.A3IY,2.004412280553469,2.5737206355319744,-14.907977571736481,-2.51108525303056,0.3577204496791626
TCGA.A7.A3IZ,24.20714723554667,-14.612295647433122,-5.297441800931486,4.561816212804663,7.027238343239174
TCGA.A7.A3J0,6.030191188672357,-6.723838116954244,-11.962586546869401,15.550087376168957,10.976032062275701
TCGA.A7.A3J1,7.450108938565658,20.91934752912164,1.3872055490935171,7.327224843060725,-5.611818942106514
TCGA.A7.A3RF,23.581663338294042,-24.887853862671896,-12.831575853539132,16.640254086254878,3.5208632063518333
TCGA.A7.A425,4.159629797144781,19.366649082294046,-10.408360631192926,-1.8284415332607218,-14.0898171612086
TCGA.A7.A426,3.4945251782317452,26.178869706976908,-15.893908210741055,1.1595173815636113,-4.738961443396682
TCGA.A7.A4SA,1.0770319507819124,17.404534626795364,-1.2746276365322555,9.572350353092935,-0.472222563537537
TCGA.A7.A4SB,11.13606312361165,0.4505676283657113,-13.54606274198372,3.5320343190119057,-4.269940298384253
TCGA.A7.A4SC,2.4964436816436346,17.489466909691973,-3.477218997680285,-4.36893976654568,-1.558079052371566
