,Concatenated_PC1,Concatenated_PC2,Concatenated_PC3,Concatenated_PC4,Concatenated_PC5
TCGA.A1.A0SF,-9.31029959938156,15.349713242868948,-1.4895654881120766,-7.206440424466099,-7.5930982918758225
TCGA.A1.A0SI,-0.8778813841870148,5.139580042764211,-9.213932917945574,-15.856123148282773,-17.460893133779713
TCGA.A1.A0SN,-13.02716373917567,-2.0418133426827363,18.574871113315815,-4.51776655273448,-5.5206939797838634
TCGA.A1.A0SQ,-33.87775306479876,-12.357006630675231,-16.368706985486888,-2.7837132127458823,15.799223005494177
TCGA.A2.A0CK,-11.689939291008537,20.062625265395216,-0.3065540314293461,14.001760211207598,4.426115169674179
TCGA.A2.A0CO,-5.806847870439468,25.49428021553634,2.022977629758448,-5.714779020248056,-0.7905464645387422
TCGA.A2.A0CR,16.686628370164893,31.331574152545823,14.272392970212223,-5.254062989942514,5.282899796096257
TCGA.A2.A0EP,30.668428594400307,34.031197650724486,13.772847251428388,-13.37415671808221,11.463323945549876
TCGA.A2.A1FV,-38.633709252496125,-8.520620589046633,16.521482342649662,4.996887195174059,10.374012388748907
TCGA.A2.A1FW,-31.084296025879873,-15.9327261049108,13.480004633504347,-8.850621272180252,12.904731304436694
TCGA.A2.A1FX,-28.36922932580774,-10.666899448499429,0.22294880333139946,-7.100300635308945,19.234665179378382
TCGA.A2.A1FZ,-3.192149011307011,17.192062965000762,9.31077965061915,9.641615838109876,-5.653738571391231
TCGA.A2.A1G0,-4.306516899794861,22.720053474346614,-14.524685626052433,1.0970582646649756,11.560556810518243
TCGA.A2.A1G1,44.331072398251024,-19.2143868314579,1.0962395930832312,-4.959463534556277,-2.65979969852623
TCGA.A2.A1G4,-25.40579409074442,-8.259824900751878,13.979205412584735,12.317287664791696,14.23334715163384
TCGA.A2.A259,5.432722180501176,24.513695129287033,-6.105193327811935,3.801689871570039,9.8577385641011
TCGA.A2.A25B,-21.358716828513497,-23.823615804330135,5.943531405316771,-16.566023863038467,6.915878957621924
TCGA.A2.A25C,-9.299277832214015,5.887992767118383,0.20353645899532982,-1.9646004835373023,5.104873509572341
TCGA.A2.A25D,-1.7297239440265635,3.571684829777802,10.69692269066236,-12.993106196774116,6.686201590449714
TCGA.A2.A25E,-16.85747495781171,-9.200798418707404,5.547625678761503,-2.5052948203689787,19.68165005726271
TCGA.A2.A25F,50.99066712309216,11.073385339676978,16.399003698826014,-13.995622228334062,22.764346346332598
TCGA.A2.A3KC,-5.427855546727579,18.564214646541732,14.868513665491653,12.607463452881053,-7.144123183584903
TCGA.A2.A3KD,-1.047068421764042,19.208447227540688,-8.41394450130289,17.322851042181355,2.5737932027804438
TCGA.A2.A3XS,50.59861619664624,-9.743492567237814,6.195054618996679,12.570337089526067,-4.020004702536492
TCGA.A2.A3XT,47.412045324693196,-11.644496642677197,3.8517576314232858,7.853999379972119,7.365377202458153
TCGA.A2.A3XU,43.40066692007677,-25.42454975614861,-23.338520836527188,26.662346839311073,-12.238049202049815
TCGA.A2.A3XV,-1.126391138862319,-15.807602855339418,26.0028047956179,0.548002190442407,-20.72515849018395
TCGA.A2.A3XX,54.20051808138364,-4.3564933369855705,4.111465902613316,17.002063313150995,0.5064538026998455
TCGA.A2.A3XY,52.9892327475353,4.623480272229072,0.40331988309236305,0.9759957239761493,2.7084412041632255
TCGA.A2.A3XZ,27.245003860854055,16.545156719246236,9.719846256734375,-2.8061804433480053,5.847534590999514
TCGA.A2.A3Y0,54.85317502742511,-16.773592264223595,-8.595216921293886,-6.372962797431785,2.9384695470519664
TCGA.A2.A4RW,-1.990526848094412,16.324621265471347,18.739730030469936,8.980500735777303,-0.4710503023911102
TCGA.A2.A4RX,48.219125129246265,10.448308782155214,-3.20403446695988,11.994904230642156,-2.031983668450126
TCGA.A2.A4S0,-20.63523130325627,-2.7053251619125023,-32.493044686740426,28.037340516524896,32.07762781690978
TCGA.A2.A4S2,-9.241832444484194,12.798330929874586,8.002595836313317,1.616719776309946,-3.1528059069826946
TCGA.A2.A4S3,10.07826597465509,-3.3469964867429747,-7.39064287162581,-17.914873155806273,8.777009866330543
TCGA.A7.A13D,46.925822420605186,-25.95348939351899,-10.322630228024288,20.469659208078358,-11.735701309963188
TCGA.A7.A13E,39.356349309274826,-37.12090426503415,0.4209974703664279,16.96355596821534,-18.053039441178843
TCGA.A7.A13F,-32.079985179662124,-15.769507377518856,7.946396473362293,4.080738520545933,3.6323741166906505
TCGA.A7.A13G,-24.6561479706362,7.575683828320372,-29.457074891295704,15.563798744874804,-9.703017610344236
TCGA.A7.A13H,1.7535556704031285,26.132355840122287,1.1442535415315311,3.6188007019187207,-4.37338063031701
TCGA.A7.A26E,-22.740141338497303,14.016576988317667,9.652823496775799,12.433515372286049,-13.374178381650646
TCGA.A7.A26F,33.055297827561084,-13.691921452792064,14.140512713250232,-9.179378750995722,-16.29308990110349
TCGA.A7.A26G,44.41567361859218,5.300949965317579,-9.646344147384058,-6.079104240860522,-1.153349689990663
TCGA.A7.A26H,-18.52803480932122,5.6229997278740695,3.410072295838302,-3.775134532007121,-10.632274089277553
TCGA.A7.A26I,48.264628453220276,-11.990549078037688,-13.906971268695992,12.158529025066853,-3.3471153947622483
TCGA.A7.A26J,-26.99792868140383,-1.471629907138877,3.6725557158888504,-5.7288228003049335,-1.1224636636856646
TCGA.A7.A2KD,-6.490828130251729,-3.3900973808158117,-11.856321999924969,-20.642313563080144,-5.81182675865416
TCGA.A7.A3IY,16.010828415244937,12.74798354292232,-20.931991137696798,14.84207902348303,6.341812246521663
TCGA.A7.A3IZ,-48.005263115550065,-14.237984832041482,-5.888200018850303,5.711322831418112,6.559831883943931
TCGA.A7.A3J0,-8.71330467763084,-0.10708315392661592,-42.29433556896625,16.760913459376916,25.199027119630838
TCGA.A7.A3J1,-5.806166473979642,24.77208134340393,4.96227697100483,-0.5563553118154647,0.20585055483294767
TCGA.A7.A3RF,-33.67980543390333,-18.66596151798311,-32.9250081921951,8.769541869600735,26.63125126446546
TCGA.A7.A425,-7.4063524105963525,17.51763972946904,-8.60437378364681,-2.060044623520983,-10.314381750439498
TCGA.A7.A426,-3.465001627417254,28.712180235204322,-0.2867283059463583,8.207865916907416,-2.412734708340409
TCGA.A7.A4SA,7.831043563625361,18.51550466473896,-2.6626963946868747,-6.481702910446717,10.801057028632968
TCGA.A7.A4SB,-19.121134088558982,3.8039892522048895,-16.188704923660904,5.597698557710357,3.313921920128189
TCGA.A7.A4SC,-1.5283869190621528,22.114647993429468,15.435813200507338,14.621061909783162,-10.153496653145226
TCGA.A7.A4SD,45.5571887642146,-13.671180550973158,-21.599481244653873,-12.858373746596726,0.2245709815952
TCGA.A7.A4SE,49.02852552101885,-0.709825796688687,-9.271682179224202,12.80979847131775,-7.164627809052263
TCGA.A7.A4SF,-22.07966315776959,-23.385543195522086,-10.912196286057045,-27.12985325945019,-4.730237406725274
TCGA.A7.A5ZV,38.75411065160728,-34.05165344154922,16.098394262359996,24.329085818627235,-7.4160654716622165
TCGA.A7.A5ZW,4.3503833110676124,28.22769971046107,-3.6435530611233258,10.582645575838354,-8.495282150646872
TCGA.A7.A5ZX,-3.2135146295825603,26.987280919963055,-1.923674648733437,22.87286069369109,-12.4803061970687
TCGA.AC.A23C,-3.384592174648243,8.360432679772943,7.397499645515885,-8.935607579312448,-7.568980804388205
TCGA.AC.A23E,-19.332616644458575,0.41492853802774066,-3.5455400423967585,-4.343498472990091,-14.707186588322699
TCGA.AC.A23G,9.38600864979054,21.937031646574848,-2.374063630912767,5.087365201824292,-9.529655170167688
TCGA.AC.A23H,-16.97340835862766,-28.369354522995348,42.922138788680336,-3.0496092793846725,-13.582313071530693
TCGA.AC.A2B8,-9.216313298208487,15.089309952142816,-3.0593636783434794,-8.86439300861966,-8.313987598126753
TCGA.AC.A2BK,42.98964730768011,-41.79064113553303,-17.90813947303913,13.214666728611649,-0.19021140201434983
TCGA.AC.A2BM,-21.593005085288933,-4.882219922116838,9.781807296862565,1.8021859854149453,25.569934378673853
TCGA.AC.A2FB,17.24805189845236,29.120804898966465,12.775636341995467,-2.847264346129366,6.52479006219756
TCGA.AC.A2FE,2.729724173566334,22.369633482861772,22.17389977077026,1.2477736204491745,1.1032731847710004
TCGA.AC.A2FF,18.1733961936277,35.799170490730155,2.0874018149069564,1.5231810850112184,4.2311803032115956
TCGA.AC.A2FG,-8.346294697430018,26.000918255086912,-15.10682124044711,7.537269882092199,-9.967721923832702
TCGA.AC.A2FM,-35.26751291783718,-4.21713075733708,36.32395647148672,18.379469332123357,12.809101155770021
TCGA.AC.A2FO,1.5430551624345226,22.64163591989829,12.711393710274008,-7.893939745276315,7.2054506744807485
TCGA.AC.A2QH,29.45352178638116,-13.220772564221809,-9.765073281995681,1.160264717864632,4.990825402220304
TCGA.AC.A2QI,-11.534310949256259,8.170396465330272,-13.39881721801339,-13.087701516530192,-5.414592856213065
TCGA.AC.A2QJ,42.573826710414316,-3.0939792880278376,-13.472700533127782,-9.33403568345044,0.9587925921146551
TCGA.AC.A3BB,0.2409041525968127,28.423342330760047,5.687811843290134,-7.21832428912205,-1.650841580348229
TCGA.AC.A3EH,-27.254321064116837,-10.223748152677258,8.994188299911375,-1.991947653560702,-25.163797129950503
TCGA.AC.A3HN,0.8384489976867555,31.617275251414995,1.3307545073892506,6.349245162436255,-3.1722465542283036
TCGA.AC.A3OD,3.1899973933771104,22.94874218025181,19.001291663169585,12.635656644515961,1.554472331639793
TCGA.AC.A3QP,5.462557852212437,20.680104251052562,-6.462749547130486,5.971380723759096,-6.876126359496553
TCGA.AC.A3QQ,-23.513761660781128,7.560418044302028,-2.059673207588243,-8.42256352700174,-6.025295980291959
TCGA.AC.A3TM,-12.825646748369083,15.564061400220394,0.2614072512518483,10.015112398764643,-8.753341860831563
TCGA.AC.A3TN,-34.743024083598215,7.904047457676783,0.7923909317007201,11.22556395255284,-13.957145513020526
TCGA.AC.A3W5,9.641882170146221,2.292207755599425,14.00679130470733,-15.759462338132117,-16.92746110540541
TCGA.AC.A3W6,2.17716929279154,19.921735339244787,5.965979963502706,-9.000332484100268,-2.699299152938231
TCGA.AC.A3W7,-9.48267185198524,21.43578140252468,-0.7852996289580408,12.62536178577936,-18.82192402819978
TCGA.AC.A5XS,2.5308723649896914,12.39367486282712,3.5356852644739876,-13.180299884382974,2.7388221608466634
TCGA.AC.A62Y,-10.317847783538383,8.619568174251501,-17.17925456088667,5.252295251444142,-0.45928183171573184
TCGA.AO.A1KP,-38.60110384447746,-16.1716096956782,1.8787023705698207,-2.7064875526313004,-2.008902953726123
TCGA.AO.A1KQ,-12.257343736865817,-10.792425419495991,-9.803728722372409,-22.058236140783098,17.25630340259652
TCGA.AO.A1KR,41.72728512068773,-20.517996586488074,5.085889536636814,8.496115976052296,-4.021372608423472
TCGA.AO.A1KS,-10.906173934790298,-3.520765635748108,9.988188853048726,5.1376283641706735,1.9207327688636378
TCGA.AO.A1KT,-15.427083248714695,-18.447797368330395,-9.364017008858353,-18.30937977272406,-3.6241183160240014
TCGA.AQ.A0Y5,-12.616769601744336,-10.275339114611828,-2.7272853278884743,-1.9115053390545502,-13.746061052668269
TCGA.AQ.A1H2,-37.247182384081114,-26.18087883791529,-23.323723977452666,-12.305873517685702,-2.7355915702268736
TCGA.AQ.A1H3,-9.297637076467261,17.316151342476164,10.510702384767132,4.968735123426098,-6.34656751513795
TCGA.AQ.A54N,47.0646658127134,-33.285765841137106,-18.771953351507502,32.92180850445516,-10.344762650497595
TCGA.AQ.A54O,-18.326270490362383,2.1035592034144814,-16.261458945005405,7.524981047369415,9.667822427494682
TCGA.AR.A1AI,52.26268494001303,-23.620702910545905,-11.614739749829237,-13.077867799425206,5.885239290699448
TCGA.AR.A1AJ,55.60252521563968,6.1977590292961295,8.32080272739454,-9.123613537656404,10.537232557133645
TCGA.AR.A1AM,3.725627364449359,25.284441048409064,-14.951007733015667,0.37218272632502386,-4.57352265069516
TCGA.AR.A1AN,-1.0115135667037123,12.309789491722025,-14.146818368337604,-3.781159699182459,-1.5681607262144737
TCGA.AR.A1AP,-13.661133392043128,0.5203381423560353,12.014781201731596,9.825647709130596,-13.459596953119249
TCGA.AR.A1AQ,53.817844864574624,-12.322289636550234,11.509567518888025,4.968634542846,4.5509091910917085
TCGA.AR.A1AR,46.90056809900409,-8.58860708774195,2.935480350467288,-0.11537699504263839,3.4893305122247398
TCGA.AR.A1AS,-27.381133639358456,-18.762961846152017,-15.72920917957224,-4.157227211419603,-23.014224551750274
TCGA.AR.A1AU,-0.5816322372264143,14.296360682044948,-4.526084397975333,13.984418703162607,6.911633587460858
TCGA.AR.A1AV,-46.42014599419071,-16.07848086211191,6.053796456147836,5.218825927518342,-9.186896739823416
TCGA.AR.A1AW,20.12553081212564,8.298561292501763,28.142364728384475,-14.45917432172665,15.5733923780208
TCGA.AR.A1AX,22.0270078448376,24.81981040091543,4.153515198030917,-9.213021978917299,7.886487761245989
TCGA.AR.A1AY,50.554554492228604,-18.066148578861185,-2.9749829356137476,29.074926836207705,-10.998891706778947
TCGA.AR.A24K,-32.163224963387485,-9.891449961416074,-4.552822840904501,17.40186615778946,-15.150611955690788
TCGA.AR.A24L,-9.437799982606665,5.196449917344646,-8.760372962069138,1.9058514071021715,16.99293017912823
TCGA.AR.A24M,-22.35430864837053,8.222883680636908,-11.725065865861888,5.717367337703436,-12.638763525834166
TCGA.AR.A24N,-24.182953787789522,-9.209774501015477,18.824597178005956,3.35702780144511,-16.495525458228585
TCGA.AR.A24O,3.4920928828113813,26.30845395785039,-6.627658723238313,-2.031808978897797,-0.7199295162187056
TCGA.AR.A24P,-8.825666038293356,10.179381560055479,2.981583625713622,13.520013026694324,-10.267282974455895
TCGA.AR.A24Q,47.994948355233255,-6.97062080002105,-7.8722310677220735,6.624285571154497,2.4448346460223873
TCGA.AR.A24R,-20.278021187398004,-8.781490101792162,16.074466809391502,-2.737479050447903,12.74698373307994
TCGA.AR.A24S,4.851679959590498,-1.9887665373787524,-19.067928485285503,-25.967190521192563,-0.5149606984605333
TCGA.B6.A1KC,-28.71484664798538,-21.841950499467426,19.547442221223754,16.442103618602562,32.76240245918913
