,MOFA_RNAseq_Factor1,MOFA_RNAseq_Factor2,MOFA_RNAseq_Factor3,MOFA_RNAseq_Factor4,MOFA_RNAseq_Factor5
TCGA.A1.A0SF,0.9667019735754601,2.9011065097897495,0.16421233744971594,0.24251281389769055,-0.7305557124442683
TCGA.A1.A0SI,-0.10643808465168879,0.7620440414039198,2.1672300399705007,-2.0355116074763946,-0.7173606770773917
TCGA.A1.A0SN,0.2748591646322341,0.10345395463276848,1.9584319246924455,-0.6786599491578502,0.33674813470437626
TCGA.A1.A0SQ,1.6807811592802246,-0.6239727322075121,-1.102762023081268,1.3783470557967856,1.2414388086124606
TCGA.A2.A0CK,1.0532184148027415,2.5739808304209757,-1.7922031453016887,1.2286332224781864,-0.6914679996601204
TCGA.A2.A0CO,0.43187646990436923,4.244725373718627,-0.18698408295288452,0.8245855909537553,-0.6766007528507328
TCGA.A2.A0CR,-0.18404963002548902,4.259185889936914,0.48569519218332435,2.2290589841897246,-2.992455834406827
TCGA.A2.A0EP,-0.00039386424982338687,3.433078586863375,2.0232727023929993,0.8285634906432726,-0.8165648620267031
TCGA.A2.A1FV,1.7573781193687883,0.6044355016516417,-3.3685546252011633,0.398728805547533,2.6980488976610557
TCGA.A2.A1FW,0.9552278388950232,-0.25544108202104465,-0.1463870957197638,0.4161522136964866,2.624524280922913
TCGA.A2.A1FX,1.5348415831324198,-0.6011640545778941,-0.41103191404184447,1.5944221966376042,1.6965858690091906
TCGA.A2.A1FZ,0.9700469907874048,1.8251573356392992,-0.8365109152418854,-1.0375059004798115,0.23291333735038355
TCGA.A2.A1G0,1.2050146428424755,2.700311158826856,-0.6260468104232803,0.35436817301258605,1.5394240820102554
TCGA.A2.A1G1,-4.196607028472581,-1.3358418774066594,1.3424075372421618,-0.5008599198280033,1.5354357505973886
TCGA.A2.A1G4,1.4810835056548524,-0.8242802235617964,-0.12332414917119372,1.3361800884272768,1.5992724837383292
TCGA.A2.A259,0.6776961515605449,2.377834130513517,-0.22242871063238007,0.03587373651771455,1.0808683719565373
TCGA.A2.A25B,0.6160719605847245,-2.477282264321942,2.610371577821783,-0.7292741797789652,1.2505354402962627
TCGA.A2.A25C,1.0604555964523734,0.3517937689541826,0.9437194069331346,-0.729523693653151,0.954286904410321
TCGA.A2.A25D,0.2176909721405805,1.186220434701515,1.6406737445320612,1.550898218961369,-0.46679810713955633
TCGA.A2.A25E,1.1297788955808965,-0.5432959947768154,0.0027580318473033496,0.986184534611111,1.52925345116519
TCGA.A2.A25F,-3.07490627215016,1.8971187328432828,2.4567013693280213,1.652320593947675,2.13298686924776
TCGA.A2.A3KC,0.6684660955986299,2.3765126371429925,-1.0630480653381287,-0.5950515734568105,0.13494303616486933
TCGA.A2.A3KD,1.055678081167866,1.5660572995617767,-1.7503922623608843,0.08091363858074221,0.43994172348861355
TCGA.A2.A3XS,-3.8783608443461572,1.0578589678120964,-1.8271232279728742,1.1285426143508477,-1.0661404860098627
TCGA.A2.A3XT,-3.225970749694196,-0.7114261678316763,-0.3884585887116512,1.8268490763822554,-0.49904215865246343
TCGA.A2.A3XU,-3.637700058317754,-2.276114522675861,-4.629479562978808,0.688236080221892,-1.9151051198666358
TCGA.A2.A3XV,-0.33919310401211333,-2.3803618997326668,0.28134620615412015,-0.38843996994926966,-4.330291526185927
TCGA.A2.A3XX,-3.9699883884102167,0.42779474521082195,-1.8514222406004155,1.3324948757102577,-0.9699353891978407
